Date,Div_growth,DEF = LT Corp. - LT govt.,TERM = ST govt.-LT govt.
196711,0.005337,-0.007701,-0.023119
196712,0.001496,-0.006391,0.015828
196801,0.001499,0.003212,0.028625
196802,0.004483,0.007043,-0.007166
196803,0.001376,0.001492,-0.024868
196804,0.001418,-0.01748,0.018305
196805,0.004547,-0.001078,-0.000176
196806,0.00149,-0.010558,0.018671
196807,0.001138,0.005038,0.02403
196808,0.004543,0.020896,-0.004492
196809,0.001247,0.004981,-0.014426
196810,0.001574,-0.002807,-0.017518
196811,0.004377,0.004409,-0.031003
196812,0.00149,0.013458,-0.040373
196901,0.001014,0.035183,-0.025692
196902,0.004242,-0.020083,-0.00044
196903,0.001444,-0.021008,-0.003594
196904,0.001181,-0.008782,0.037128
196905,0.004799,0.027677,-0.053594
196906,0.001571,-0.017561,0.016235
196907,0.001201,-0.007368,0.002597
196908,0.004973,0.004914,-0.011869
196909,0.001577,0.03032,-0.058958
196910,0.001867,-0.022985,0.030379
196911,0.004514,-0.023328,-0.029345
196912,0.00179,-0.006615,-0.01318
197001,0.001265,0.016275,-0.008135
197002,0.005055,-0.017566,0.052194
197003,0.00184,0.002296,-0.012414
197004,0.001075,0.017023,-0.04613
197005,0.005585,0.032041,-0.051836
197006,0.002305,-0.046287,0.04258
197007,0.002037,0.022922,0.026575
197008,0.005452,0.011943,-0.00722
197009,0.001935,-0.008689,0.017326
197010,0.002242,0.001274,-0.015389
197011,0.005094,-0.019203,0.07423
197012,0.001754,0.045976,-0.01257
197101,0.001258,0.00251,0.046562
197102,0.0045,-0.020626,-0.019562
197103,0.001806,-0.025478,0.049493
197104,0.001032,0.004847,-0.030984
197105,0.004328,-0.015519,-0.003513
197106,0.001734,0.026998,-0.019532
197107,0.001034,-0.005446,-0.001053
197108,0.004845,0.00794,0.042211
197109,0.001475,-0.029945,0.016619
197110,0.001664,0.011331,0.012956
197111,0.004434,0.007606,-0.008363
197112,0.0017,0.0178,0.00073
197201,0.001214,0.003069,-0.009203
197202,0.004077,0.001878,0.006309
197203,0.001475,0.010667,-0.010877
197204,0.000782,0.000786,-0.000167
197205,0.004415,-0.010454,0.023951
197206,0.001516,-0.000342,-0.009368
197207,0.001056,-0.018162,0.018373
197208,0.004109,0.004334,-5.00E-06
197209,0.001414,0.011455,-0.011633
197210,0.001318,-0.013032,0.019384
197211,0.004459,0.002233,0.018838
197212,0.00134,0.023059,-0.026576
197301,0.001236,0.027585,-0.036311
197302,0.003826,0.000901,-0.002741
